Run 1 -> fitness=5479.97 | time=4.68
Run 2 -> fitness=5485.77 | time=5.68
Run 3 -> fitness=5483.85 | time=5.11
Run 4 -> fitness=5461.86 | time=4.97
Run 5 -> fitness=5503.52 | time=4.85
Run 6 -> fitness=5459.09 | time=4.91
Run 7 -> fitness=5458.31 | time=4.86
Run 8 -> fitness=5461.90 | time=4.97
Run 9 -> fitness=5481.01 | time=4.88
Run 10 -> fitness=5501.40 | time=4.83
Run 11 -> fitness=5499.09 | time=4.86
Run 12 -> fitness=5475.20 | time=5.30
Run 13 -> fitness=5491.10 | time=6.79
Run 14 -> fitness=5456.76 | time=5.72
Run 15 -> fitness=5474.74 | time=5.95
Run 16 -> fitness=5492.29 | time=5.38
Run 17 -> fitness=5478.21 | time=6.27
Run 18 -> fitness=5507.82 | time=6.38
Run 19 -> fitness=5451.68 | time=6.63
Run 20 -> fitness=5471.18 | time=6.34
Run 21 -> fitness=5488.90 | time=5.69
Run 22 -> fitness=5485.96 | time=5.52
Run 23 -> fitness=5499.78 | time=6.45
Run 24 -> fitness=5480.84 | time=6.45
Run 25 -> fitness=5489.30 | time=5.79
Run 26 -> fitness=5466.94 | time=5.61
Run 27 -> fitness=5504.24 | time=6.50
Run 28 -> fitness=5456.41 | time=5.90
Run 29 -> fitness=5511.97 | time=5.68
Run 30 -> fitness=5470.26 | time=5.58
----------------------

2nd Run
Run 1 -> fitness=22783.72 | time=5.01
Run 2 -> fitness=22389.15 | time=4.09
Run 3 -> fitness=22208.13 | time=3.68
Run 4 -> fitness=22376.90 | time=4.14
Run 5 -> fitness=22398.71 | time=4.31
Run 6 -> fitness=22194.63 | time=3.77
Run 7 -> fitness=22255.78 | time=4.07
Run 8 -> fitness=23256.14 | time=5.50
Run 9 -> fitness=23310.54 | time=5.67
Run 10 -> fitness=22491.15 | time=4.25
Run 11 -> fitness=22300.25 | time=4.04
Run 12 -> fitness=22080.03 | time=3.50
Run 13 -> fitness=22722.63 | time=4.53
Run 14 -> fitness=22013.88 | time=3.23
Run 15 -> fitness=22702.21 | time=4.75
Run 16 -> fitness=22328.33 | time=3.95
Run 17 -> fitness=22757.88 | time=4.88
Run 18 -> fitness=22278.00 | time=4.10
Run 19 -> fitness=22113.81 | time=3.58
Run 20 -> fitness=22420.08 | time=4.34
Run 21 -> fitness=22216.10 | time=4.39
Run 22 -> fitness=22794.64 | time=4.97
Run 23 -> fitness=22681.92 | time=4.79
Run 24 -> fitness=22316.76 | time=3.93
Run 25 -> fitness=22958.55 | time=5.50
Run 26 -> fitness=22613.38 | time=4.33
Run 27 -> fitness=22312.88 | time=3.94
Run 28 -> fitness=22175.05 | time=3.84
Run 29 -> fitness=22544.60 | time=4.34
Run 30 -> fitness=22718.78 | time=4.53
----------------------
Média do tempo: 4.3316 secs
Média do fitness: 22490.4870 Gbps

3rd Run
Run 1 -> fitness=22904.92 | time=4.12
Run 2 -> fitness=23120.52 | time=4.43
Run 3 -> fitness=22764.16 | time=3.97
Run 4 -> fitness=23139.82 | time=3.64
Run 5 -> fitness=22857.92 | time=4.19
Run 6 -> fitness=22258.92 | time=3.40
Run 7 -> fitness=22770.58 | time=4.21
Run 8 -> fitness=22757.40 | time=4.14
Run 9 -> fitness=22133.58 | time=3.24
Run 10 -> fitness=22844.83 | time=3.99
Run 11 -> fitness=22968.58 | time=4.46
Run 12 -> fitness=22676.12 | time=3.76
Run 13 -> fitness=22736.05 | time=4.19
Run 14 -> fitness=22653.93 | time=4.10
Run 15 -> fitness=22633.88 | time=3.99
Run 16 -> fitness=22721.34 | time=3.88
Run 17 -> fitness=22650.24 | time=4.06
Run 18 -> fitness=23058.43 | time=4.76
Run 19 -> fitness=22995.80 | time=4.94
Run 20 -> fitness=22698.51 | time=4.33
Run 21 -> fitness=22823.21 | time=4.40
Run 22 -> fitness=21875.07 | time=3.03
Run 23 -> fitness=21911.01 | time=3.07
Run 24 -> fitness=23210.11 | time=4.64
Run 25 -> fitness=22916.72 | time=4.81
Run 26 -> fitness=23069.62 | time=4.67
Run 27 -> fitness=22695.23 | time=4.43
Run 28 -> fitness=22043.60 | time=3.26
Run 29 -> fitness=22934.36 | time=4.93
Run 30 -> fitness=22436.98 | time=3.90
----------------------
Média do tempo: 4.0980 secs
Média do fitness: 22708.7146 Gbps

4th Run 
Run 1 -> fitness=22853.24 | time=4.75
Run 2 -> fitness=22461.68 | time=4.10
Run 3 -> fitness=22822.52 | time=4.44
Run 4 -> fitness=22934.73 | time=4.78
Run 5 -> fitness=22997.16 | time=4.64
Run 6 -> fitness=22784.92 | time=4.84
